Serial No.,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,ChanceofAdmit
333,308,106,3,3.5,2.5,8.21,1,0.75
78,301,99,2,3,2,8.22,0,0.64
124,308,108,3,3.5,3.5,8.22,0,0.61
271,306,105,2,2.5,3,8.22,1,0.72
225,305,105,2,3,2,8.23,0,0.67
343,308,106,3,3,3,8.24,0,0.58
371,310,103,2,2.5,2.5,8.24,0,0.72
391,314,102,2,2,2.5,8.24,0,0.64
103,314,106,2,4,3.5,8.25,0,0.62
150,311,106,2,3.5,3,8.26,1,0.79
158,309,104,2,2,2.5,8.26,0,0.65
197,306,105,2,3,2.5,8.26,0,0.73
384,300,100,3,3,3.5,8.26,0,0.62
168,313,102,3,2,3,8.27,0,0.64
180,307,102,3,3,3,8.27,0,0.73
233,312,107,2,2.5,3.5,8.27,0,0.69
323,314,107,2,2.5,4,8.27,0,0.72
351,318,107,3,3,3.5,8.27,1,0.74
88,317,107,2,3.5,3,8.28,0,0.66
16,314,105,3,3.5,2.5,8.3,0,0.54
32,327,103,3,4,4,8.3,1,0.74
51,313,98,3,2.5,4.5,8.3,1,0.76
60,311,104,2,2,2,8.3,0,0.42
185,316,106,2,2.5,4,8.32,0,0.72
295,316,101,2,2.5,2,8.32,1,0.61
167,302,102,3,3.5,5,8.33,0,0.65
198,310,106,2,3.5,2.5,8.33,0,0.73
232,319,106,3,3.5,2.5,8.33,1,0.74
325,315,104,3,3,2.5,8.33,0,0.67
113,301,107,3,3.5,3.5,8.34,1,0.62
157,315,105,3,2,2.5,8.34,0,0.7
270,308,108,4,4.5,5,8.34,0,0.77
367,320,104,3,3.5,4.5,8.34,1,0.74
123,310,106,4,1.5,2.5,8.36,0,0.57
263,308,103,2,2.5,4,8.36,1,0.7
364,306,103,2,2.5,3,8.36,0,0.69
239,310,104,3,2,3.5,8.37,0,0.7
256,307,110,4,4,4.5,8.37,0,0.79
11,325,106,3,3.5,4,8.4,1,0.52
22,325,114,4,3,2,8.4,0,0.7
37,299,106,2,4,4,8.4,0,0.64
50,327,111,4,3,4,8.4,1,0.78
87,315,106,3,4.5,3.5,8.42,0,0.72
182,305,107,2,2.5,2.5,8.42,0,0.71
220,312,104,3,3.5,3.5,8.42,0,0.74
199,311,104,3,4.5,4.5,8.43,0,0.7
305,313,106,2,2.5,2,8.43,0,0.62
380,311,99,1,2.5,3,8.43,1,0.71
322,323,104,3,4,4,8.44,1,0.73
360,321,107,2,2,1.5,8.44,0,0.81
390,320,108,3,3.5,4,8.44,1,0.76
115,311,105,3,3.5,3,8.45,1,0.59
137,312,103,3,5,4,8.45,0,0.76
224,308,109,2,3,4,8.45,0,0.71
227,306,110,2,3.5,4,8.45,0,0.63
267,312,105,2,2,2.5,8.45,0,0.72
303,322,105,2,3,3,8.45,1,0.65
101,322,107,3,3.5,3.5,8.46,1,0.71
202,315,110,2,3.5,3,8.46,1,0.72
341,312,107,3,3,3,8.46,1,0.75
104,317,104,2,4.5,4,8.47,0,0.57
125,301,106,4,2.5,3,8.47,0,0.57
111,305,108,5,3,3,8.48,0,0.61
147,315,105,3,2,2.5,8.48,0,0.75
248,311,104,2,2.5,3.5,8.48,0,0.71
279,308,103,2,3,3.5,8.49,0,0.66
20,303,102,3,3.5,3,8.5,0,0.62
43,313,107,2,2.5,2,8.5,1,0.53
64,315,107,2,4,3,8.5,1,0.56
163,318,109,3,3,3,8.5,0,0.67
321,317,106,3,4,3.5,8.5,1,0.75
196,307,107,2,3,3.5,8.52,1,0.78
228,312,110,2,3.5,3,8.53,0,0.64
309,312,108,3,3.5,3,8.53,0,0.69
201,317,103,3,2.5,3,8.54,1,0.73
205,298,105,3,3.5,4,8.54,0,0.69
253,318,100,2,2.5,3.5,8.54,1,0.71
334,319,108,3,3,3.5,8.54,1,0.71
374,321,109,3,3,3,8.54,1,0.79
304,323,107,3,3.5,3.5,8.55,1,0.73
76,329,114,2,2,4,8.56,1,0.72
114,320,110,2,4,3.5,8.56,0,0.72
133,309,105,5,3.5,3.5,8.56,0,0.71
164,317,105,3,3.5,3,8.56,0,0.68
222,316,110,3,3.5,4,8.56,0,0.75
245,314,107,2,2.5,4,8.56,0,0.63
257,309,99,3,4,4,8.56,0,0.76
251,320,104,3,3,2.5,8.57,1,0.74
296,317,100,2,3,2.5,8.57,0,0.68
10,323,108,3,3.5,3,8.6,0,0.45
310,308,110,4,3.5,3,8.6,0,0.7
117,299,102,3,4,3.5,8.62,0,0.56
278,320,101,2,2.5,3,8.62,0,0.7
68,316,107,2,3.5,3.5,8.64,1,0.57
110,304,103,5,5,4,8.64,0,0.68
146,320,113,2,2,2.5,8.64,1,0.81
258,324,100,3,4,5,8.64,1,0.78
281,311,102,3,4.5,4,8.64,1,0.68
361,322,110,3,4,5,8.64,1,0.85
132,303,105,5,5,4.5,8.65,0,0.77
231,313,104,3,4,4.5,8.65,0,0.73
300,305,112,3,3,3.5,8.65,0,0.71
335,312,107,4,4.5,4,8.65,1,0.73
392,318,106,3,2,3,8.65,0,0.71
86,319,103,4,4.5,3.5,8.66,0,0.76
126,300,100,3,2,3,8.66,1,0.64
331,327,113,3,3.5,3,8.66,1,0.8
340,324,107,5,3.5,4,8.66,1,0.81
4,322,110,3,3.5,2.5,8.67,1,0.8
229,318,112,3,4,3.5,8.67,0,0.71
297,310,107,3,3.5,3.5,8.67,0,0.76
352,325,110,4,3.5,4,8.67,1,0.73
382,319,105,3,3,3.5,8.67,1,0.73
112,321,109,4,4,4,8.68,1,0.69
187,317,107,3,3.5,3,8.68,1,0.84
266,313,102,3,2.5,2.5,8.68,0,0.71
156,312,109,3,3,3,8.69,0,0.77
200,313,107,3,4,4.5,8.69,0,0.72
320,327,113,4,3.5,3,8.69,1,0.8
17,317,107,3,4,3,8.7,0,0.66
65,325,111,3,3,3.5,8.7,0,0.52
128,319,112,3,2.5,2,8.71,1,0.78
77,327,112,3,3,3,8.72,1,0.74
247,316,105,3,3,3.5,8.73,0,0.72
280,304,102,2,3,4,8.73,0,0.67
311,320,104,3,3,3.5,8.74,1,0.76
339,323,108,5,4,4,8.74,1,0.81
154,324,105,3,3,4,8.75,0,0.79
221,313,103,3,4,4,8.75,0,0.76
90,316,109,4,4.5,3.5,8.76,1,0.74
195,316,109,3,3.5,3,8.76,0,0.77
243,324,115,3,3.5,3,8.76,1,0.7
259,326,102,4,5,5,8.76,1,0.77
265,325,110,2,3,2.5,8.76,1,0.75
302,319,108,2,2.5,3,8.76,0,0.66
342,326,110,3,3.5,3.5,8.76,1,0.79
394,317,104,2,3,3,8.76,0,0.77
136,314,109,4,3.5,4,8.77,1,0.82
329,324,112,4,4,3.5,8.77,1,0.8
357,327,109,3,3.5,4,8.77,1,0.79
106,316,110,3,4,4.5,8.78,1,0.69
134,323,112,5,4,4.5,8.78,0,0.79
399,312,103,3,3.5,4,8.78,0,0.67
223,324,113,4,4.5,4,8.79,0,0.76
264,324,111,3,2.5,1.5,8.79,1,0.7
283,312,106,3,4,3.5,8.79,1,0.81
337,319,110,3,3,2.5,8.79,0,0.72
19,318,110,3,4,3,8.8,0,0.63
27,322,109,5,4.5,3.5,8.8,0,0.76
184,314,110,3,4,4,8.8,0,0.75
306,321,109,3,3.5,3.5,8.8,1,0.74
319,324,111,3,2.5,2,8.8,1,0.79
250,321,111,3,3.5,4,8.83,1,0.77
120,327,104,5,3,3.5,8.84,1,0.71
381,322,104,3,3.5,4,8.84,1,0.78
49,321,110,3,3.5,5,8.85,1,0.82
2,324,107,4,4,4.5,8.87,1,0.76
176,320,111,4,4.5,3.5,8.87,1,0.85
249,324,110,3,3.5,4,8.87,1,0.8
100,323,113,3,4,4,8.88,1,0.79
155,326,108,3,3,3.5,8.89,0,0.8
75,314,106,3,3,5,8.9,0,0.74
284,321,111,3,2.5,3,8.9,1,0.8
365,313,102,3,3.5,4,8.9,1,0.77
66,325,112,4,3.5,3.5,8.92,0,0.55
193,322,114,5,4.5,4,8.94,1,0.86
98,331,120,3,4,4,8.96,1,0.86
145,325,112,2,3,3.5,8.96,1,0.8
276,322,110,3,3.5,3,8.96,1,0.78
166,322,110,5,4.5,4,8.97,0,0.78
175,321,111,4,4,4,8.97,1,0.87
219,324,110,4,3,3.5,8.97,1,0.84
192,323,110,5,4,5,8.98,1,0.87
12,327,111,4,4,4.5,9,1,0.84
252,316,99,2,2.5,3,9,0,0.7
290,313,109,3,4,3.5,9,0,0.79
308,325,112,4,4,4,9,1,0.8
313,311,107,4,4.5,4.5,9,1,0.78
165,329,111,4,4.5,4,9.01,1,0.81
230,324,111,4,3,3,9.01,1,0.82
67,327,114,3,3,3,9.02,0,0.61
246,328,110,4,4,2.5,9.02,1,0.81
289,314,104,4,5,5,9.02,0,0.82
74,314,108,4,4.5,4,9.04,1,0.84
116,310,106,4,4.5,4.5,9.04,1,0.66
178,319,110,3,3.5,3.5,9.04,0,0.82
244,325,114,3,3.5,3,9.04,1,0.76
396,324,110,3,3.5,3.5,9.04,1,0.82
105,326,112,3,3.5,3,9.05,1,0.74
153,321,112,5,5,5,9.06,1,0.86
211,325,108,4,4.5,4,9.06,1,0.79
172,334,117,5,4,4.5,9.07,1,0.89
139,326,116,2,4.5,3,9.08,1,0.8
190,324,112,5,5,5,9.08,1,0.88
288,324,114,5,5,4.5,9.08,1,0.89
13,328,112,4,4,4.5,9.1,1,0.78
44,332,117,4,4.5,4,9.1,0,0.87
46,322,110,5,5,4,9.1,1,0.88
129,326,112,3,3.5,3,9.1,1,0.84
307,323,110,3,4,3.5,9.1,1,0.79
148,326,114,3,3,3,9.11,1,0.83
186,327,113,4,4.5,4.5,9.11,1,0.89
282,317,110,3,4,4.5,9.11,1,0.8
298,320,120,3,4,4.5,9.11,0,0.86
336,325,111,4,4,4.5,9.11,1,0.83
397,325,107,3,3,3.5,9.11,1,0.84
140,318,109,1,3.5,3.5,9.12,0,0.78
255,321,114,4,4,5,9.12,0,0.85
393,326,112,4,4,3.5,9.12,1,0.84
173,322,110,4,4,5,9.13,1,0.86
218,321,109,4,4,4,9.13,1,0.85
261,327,108,5,5,3.5,9.13,1,0.87
212,328,110,4,5,4,9.14,1,0.82
269,327,113,4,4.5,5,9.14,0,0.83
326,326,116,3,3.5,4,9.14,1,0.81
141,329,110,2,4,3,9.15,1,0.84
383,324,110,4,4.5,4,9.15,1,0.82
70,328,115,4,4.5,4,9.16,1,0.78
177,329,119,4,4.5,4.5,9.16,1,0.9
191,324,111,5,4.5,4,9.16,1,0.9
237,325,112,4,4,4.5,9.17,1,0.85
366,330,114,4,4.5,3,9.17,1,0.86
107,329,111,4,4.5,4.5,9.18,1,0.87
312,328,108,4,4.5,4,9.18,1,0.84
238,329,114,5,4.5,5,9.19,1,0.86
287,336,118,5,4.5,4,9.19,1,0.92
36,320,110,5,5,5,9.2,1,0.88
69,318,109,3,3.5,4,9.22,1,0.68
83,320,110,5,5,4.5,9.22,1,0.92
372,324,110,3,3.5,3,9.22,1,0.89
174,323,113,4,4,4.5,9.23,1,0.89
236,326,111,5,4.5,4,9.23,1,0.88
363,338,115,5,4.5,5,9.23,1,0.91
395,329,111,4,4.5,4,9.23,1,0.89
99,332,119,4,5,4.5,9.24,1,0.9
299,330,114,3,4.5,4.5,9.24,1,0.9
217,322,112,4,4.5,4.5,9.26,1,0.91
286,331,116,5,4,4,9.26,1,0.93
135,333,113,5,4,4,9.28,1,0.89
152,332,116,5,5,5,9.28,1,0.94
47,329,114,5,4,5,9.3,1,0.86
235,330,113,5,5,4,9.31,1,0.91
127,323,113,3,4,3,9.32,1,0.85
6,330,115,5,4.5,3,9.34,1,0.9
260,331,119,4,5,4.5,9.34,1,0.9
130,333,118,5,5,5,9.35,1,0.92
84,322,115,5,4,4.5,9.36,1,0.92
142,332,118,2,4.5,3.5,9.36,1,0.9
189,331,115,5,4.5,3.5,9.36,1,0.93
216,330,116,5,5,4.5,9.36,1,0.93
109,331,116,5,5,5,9.38,1,0.93
33,338,118,4,3,4.5,9.4,1,0.91
45,326,113,5,4.5,4,9.4,1,0.91
215,331,117,4,4.5,5,9.42,1,0.94
151,334,114,4,4,4,9.43,1,0.93
143,331,115,5,4,3.5,9.44,1,0.92
188,335,118,5,4.5,3.5,9.44,1,0.93
73,321,111,5,5,5,9.45,1,0.93
85,340,115,5,4.5,4.5,9.45,1,0.94
277,329,113,5,5,4.5,9.45,1,0.89
398,330,116,4,5,4.5,9.45,1,0.91
108,338,117,4,3.5,4.5,9.46,1,0.91
338,332,118,5,5,5,9.47,1,0.94
122,334,119,5,4.5,4.5,9.48,1,0.94
23,328,116,5,5,5,9.5,1,0.94
82,340,120,4,5,5,9.5,1,0.96
194,336,118,5,4.5,5,9.53,1,0.94
362,334,116,4,4,3.5,9.54,1,0.93
121,335,117,5,5,5,9.56,1,0.94
26,340,120,5,4.5,4.5,9.6,1,0.94
34,340,114,5,4,4,9.6,1,0.9
373,336,119,4,4.5,4,9.62,1,0.95
71,332,118,5,5,5,9.64,1,0.94
1,337,118,4,4.5,4.5,9.65,1,0.92
213,338,120,4,5,5,9.66,1,0.95
285,340,112,4,5,4.5,9.66,1,0.94
400,333,117,4,5,4,9.66,1,0.95
254,335,115,4,4.5,4.5,9.68,1,0.93
24,334,119,5,5,4.5,9.7,1,0.95
48,339,119,5,4.5,4,9.7,0,0.89
385,340,113,4,5,5,9.74,1,0.96
72,336,112,5,5,5,9.76,1,0.96
131,339,114,5,4,4.5,9.76,1,0.96
214,333,119,5,5,4.5,9.78,1,0.96
25,336,119,5,4,3.5,9.8,1,0.97
35,331,112,5,4,5,9.8,1,0.94
149,339,116,4,4,3.5,9.8,1,0.96
386,335,117,5,5,5,9.82,1,0.96
204,334,120,5,4,5,9.87,1,0.97
203,340,120,5,4.5,4.5,9.91,1,0.97
144,340,120,4,4.5,4,9.92,1,0.97
